Ticker,Industry,Sector,Short Name,Country,Long Business Summary
MRNA,Biotechnology,Healthcare,"Moderna, Inc.",United States,"Moderna, Inc., a biotechnology company, discovers, develops, and commercializes messenger RNA therapeutics and vaccines for the treatment of infectious diseases, immuno-oncology, rare diseases, autoimmune, and cardiovascular diseases in the United States, Europe, and internationally. Its respiratory vaccines include COVID-19, influenza, and respiratory syncytial virus, spikevax, and hMPV/PIV3 vaccines; latent vaccines comprise cytomegalovirus, epstein-barr virus, herpes simplex virus, varicella zoster virus, and human immunodeficiency virus vaccines; public health vaccines consists of Zika, Nipah, Mpox vaccines; and infectious diseases vaccines, such as lyme and norovirus vaccines. The company also offers systemic secreted and cell surface therapeutics; cancer vaccines, such as personalized cancer, KRAS, and checkpoint vaccines; intratumoral immuno-oncology products; rare disease intracellular therapeutics; and inhaled pulmonary therapeutics. It has strategic alliances and collaborations with AstraZeneca; Merck & Co., Inc; Vertex Pharmaceuticals Incorporated; Vertex Pharmaceuticals (Europe) Limited; Chiesi Farmaceutici S.p.A.; Metagenomi, Inc.; Carisma Therapeutics, Inc.; CytomX Therapeutics; Defense Advanced Research Projects Agency; Biomedical Advanced Research and Development Authority; Institute for Life Changing Medicines; The Bill & Melinda Gates Foundation; and OpenAI. The company was formerly known as Moderna Therapeutics, Inc. and changed its name to Moderna, Inc. in August 2018. Moderna, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts."
LSCC,Semiconductors,Technology,Lattice Semiconductor Corporati,United States,"Lattice Semiconductor Corporation, together with its subsidiaries, develops and sells semiconductor products in Asia, Europe, and the Americas. The company offers field programmable gate arrays that consist of four product families, including the Lattice Certus and ECP, Mach, iCE, and CrossLink. It also provides video connectivity application specific standard products. In addition, the company licenses its technology portfolio through standard IP and IP core licensing, patent monetization, and IP services. It sells its products directly to customers, and indirectly through a network of independent manufacturers' representatives and independent distributors. The company primarily serves original equipment manufacturers in the communications and computing, consumer, and industrial, and automotive markets. Lattice Semiconductor Corporation was incorporated in 1983 and is headquartered in Hillsboro, Oregon."
BANR,Banks - Regional,Financial Services,Banner Corporation,United States,"Banner Corporation operates as the bank holding company for Banner Bank that engages in the provision of commercial banking and financial products and services to individuals, businesses, and public sector entities in the United States. It accepts various deposit instruments, including interest-bearing and non-interest-bearing checking accounts, money market deposit accounts, regular savings accounts, and certificates of deposit, as well as treasury management services and retirement savings plans. The company also provides commercial real estate loans, including owner-occupied, investment properties, and multifamily residential real estate loans; construction, land, and land development loans; one- to four-family residential real estate lending; commercial business loans; agricultural loans; consumer and other loans, such as home equity lines of credit, automobile, and boat and recreational vehicle loans, as well as loans secured by deposit accounts; and small business administration loans. In addition, it provides electronic and digital banking services comprising debit cards and ATMs, internet banking, remote deposit, and mobile banking services. The company was founded in 1890 and is based in Walla Walla, Washington."
UHS,Medical Care Facilities,Healthcare,"Universal Health Services, Inc.",United States,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, and outpatient and behavioral health care facilities. It operates through Acute Care Hospital Services and Behavioral Health Care Services segments. The company's hospitals offer general and specialty surgery, internal medicine, obstetrics, emergency room care, radiology, oncology, diagnostic and coronary care, pediatric services, pharmacy services, and/or behavioral health services. It also provides commercial health insurance services; and various management services, which include central purchasing, information, finance and control systems, facilities planning, physician recruitment, administrative personnel management, marketing, and public relations services. Universal Health Services, Inc. founded in 1978 and is headquartered in King of Prussia, Pennsylvania."
BBY,Specialty Retail,Consumer Cyclical,"Best Buy Co., Inc.",United States,"Best Buy Co., Inc. engages in the retail of technology products in the United States, Canada, and international. Its stores provide computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets covering e-readers; smartwatches; and consumer electronics consisting of digital imaging, health and fitness products, portable audio comprising headphones and portable speakers, and smart home products, as well as home theaters, which includes home theater accessories, soundbars, and televisions. The company's stores also offer appliances, such as dishwashers, laundry, ovens, refrigerators, blenders, coffee makers, vacuums, and personal care; entertainment products consisting of drones, peripherals, movies, and toys, as well as hardware and software, and virtual reality and other software products; and other products, such as baby, food and beverage, luggage, outdoor living, and sporting goods. In addition, it provides delivery, installation, memberships, repair, set-up, technical support, health-related, and warranty-related services. The company offers its products through stores and websites under the Best Buy, Best Buy Ads, Best Buy Business, Best Buy Health, Buy Mobile, CST, Current Health, Geek Squad, Lively, Magnolia, Pacific Kitchen, Home, TechLiquidators, and Yardbird brands, as well as domain names comprising bestbuy.com, currenthealth.com, lively.com, techliquidators.com, yardbird.com, and bestbuy.ca. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota."
HII,Aerospace & Defense,Industrials,"Huntington Ingalls Industries, ",United States,"Huntington Ingalls Industries, Inc. designs, builds, overhauls, and repairs military ships in the United States. It operates through three segments: Ingalls, Newport News, and Mission Technologies. The company is involved in the design and construction of non-nuclear ships comprising amphibious assault ships; expeditionary warfare ships; surface combatants; and national security cutters for the U.S. Navy and U.S. Coast Guard. It also provides nuclear-powered ships, such as aircraft carriers and submarines, as well as refueling and overhaul, and inactivation services of nuclear-powered aircraft carriers. In addition, the company offers naval nuclear support services, including fleet services comprising design, construction, maintenance, and disposal activities for in-service the U.S. Navy nuclear ships; and maintenance services on nuclear reactor prototypes. Further, the company provides C5ISR systems and operations; application of artificial intelligence and machine learning to battlefield decisions; defensive and offensive cyberspace strategies and electronic warfare; live, virtual, and constructive solutions; unmanned, autonomous systems; and fleet sustainment; and critical nuclear operations. Huntington Ingalls Industries, Inc. was founded in 1886 and is headquartered in Newport News, Virginia."
ELF,Household & Personal Products,Consumer Defensive,"e.l.f. Beauty, Inc.",United States,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f. Cosmetics, e.l.f. Skin, Well People, Naturium, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, paw, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States, and internationally primarily in the United Kingdom and Canada. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California."
LQDT,Internet Retail,Consumer Cyclical,"Liquidity Services, Inc.",United States,"Liquidity Services, Inc. provides e-commerce marketplaces, self-directed auction listing tools, and value-added services in the United States and internationally. The company operates through four segments: GovDeals, Retail Supply Chain Group (RSCG), Capital Assets Group (CAG), and Machinio. Its marketplaces include liquidation.com that enable corporations to sell surplus and salvage consumer goods and retail capital assets; GovDeals marketplace, which provides self-directed service solutions in which sellers list their own assets that enables local and state government entities, and commercial businesses located in the United States and Canada to sell surplus and salvage assets; and AllSurplus, a centralized marketplace that connects global buyer base with assets from across the network of marketplaces in a single destination. The company also offers a suite of services, including surplus management, asset valuation, asset sales, marketing, returns management, asset recovery, and ecommerce services. In addition, it operates a global search engine platform for listing used equipment for sale in the construction, machine tool, transportation, printing, and agriculture sectors. The company offers products from industry verticals, such as consumer electronics, general merchandise, apparel, scientific equipment, aerospace parts and equipment, technology hardware, real estate, energy equipment, industrial capital assets, heavy equipment, fleet and transportation equipment, and specialty equipment. The company was incorporated in 1999 and is headquartered in Bethesda, Maryland."
SBH,Specialty Retail,Consumer Cyclical,"Sally Beauty Holdings, Inc. (Na",United States,"Sally Beauty Holdings, Inc. operates as a specialty retailer and distributor of professional beauty supplies. The company operates through two segments, Sally Beauty Supply and Beauty Systems Group. The Sally Beauty Supply segment offers beauty products, including hair color and care products, skin and nail care products, styling tools, and other beauty products for retail customers, salons, and salon professionals. This segment also provides products under Wella and L'Oreal brands. The Beauty Systems Group segment offers professional beauty products, such as hair color and care products, skin and nail care products, styling tools, and other beauty items directly to salons and salon professionals through its professional-only stores, e-commerce platforms, and sales force, as well as through franchised stores under the Armstrong McCall store name. This segment also sells products under Paul Mitchell and Wella brands. It operates stores and franchised units in the United States, Puerto Rico, Canada, Mexico, Chile, Peru, the United Kingdom, Ireland, Belgium, France, the Netherlands, Spain, and Germany. The company distributes its products through full-service/exclusive distributors and open-line distributors. Sally Beauty Holdings, Inc. was founded in 1964 and is headquartered in Denton, Texas."
ALB,Specialty Chemicals,Basic Materials,Albemarle Corporation,United States,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Energy Storage, Specialties and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Specialties segment provides bromine-based specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; develops and manufactures cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies (CFT), which is composed of hydroprocessing catalysts (HPC) together with isomerization and akylation catalysts; fluidized catalytic cracking (FCC) catalysts and additives; and performance catalyst solutions (PCS), which is composed of organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, and crop protection markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina."
TGI,Aerospace & Defense,Industrials,"Triumph Group, Inc.",United States,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aircraft, aircraft components, accessories, subassemblies, and systems worldwide. It operates in two segments, Triumph Systems & Support, and Triumph Interiors. The company offers aircraft and engine-mounted accessory drives, thermal control systems and components, cargo hooks, high lift actuations, cockpit control levers, hydraulic systems and components, control system valve bodies, landing gear actuation systems, electronic engine controls, landing gear components and assemblies, cyber protected process controllers, main engine gearbox assemblies, geared transmissions and drive train components, main fuel pumps, fuel-metering units, primary and secondary flight control systems, and vibration absorbers. It also provides thermo-acoustic insulation systems, environmental control system ducting, and other aircraft interior components. The company serves original equipment manufacturers of commercial, regional, and military aircraft. Triumph Group, Inc. was incorporated in 1993 and is headquartered in Radnor, Pennsylvania."
ADSK,Software - Application,Technology,"Autodesk, Inc.",United States,"Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for land development, transportation, and environmental projects; Autodesk Build, provides a toolset for managing, sharing, and accessing project documents for streamlined workflows between the office, trailer, and jobsite; Revit, a software built for Building Information Modeling to help professionals design, build, and maintain higher-quality, more energy-efficient buildings; Autodesk BIM Collaborate Pro, cloud-based design collaboration and design management software; and BuildingConnected, a SaaS preconstruction solution. It also provides AutoCAD software, a customizable and extensible CAD application for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; Fusion, a 3D CAD, computer-aided manufacturing, and computer-aided engineering tool; Inventor, a software solution, that offers a set of tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; and Vault, a data management software, for managing data in one central location, accelerate design processes, and streamline internal/external collaboration. In addition, the company offers Flow Production Tracking, cloud-based software for review and production tracking; Maya software, which provides 3D modeling, animation, effects, rendering, and compositing solutions for film and video artists, game developers, and design visualization professionals; Media and Entertainment Collection, that provides end-to-end creative tools for entertainment creation; and 3ds Max software provides 3D modeling, animation, and rendering solutions. It sells its products and services to customers directly, as well as through a network of resellers and distributors. The company was incorporated in 1982 and is headquartered in San Francisco, California."
PLAB,Semiconductor Equipment & Materials,Technology,"Photronics, Inc.",United States,"Photronics, Inc., together with its subsidiaries, engages in the manufacture and sale of photomask products and services in the United States, Taiwan, China, Korea, Europe, and internationally. It offers photomasks that are used in the manufacture of integrated circuits and flat panel displays (FPDs); and to transfer circuit patterns onto semiconductor wafers, and FDP substrates. The company offers electrical and optical components. It sells its products to semiconductor and FPD manufacturers, designers, and foundries, as well as to other high-performance electronics manufacturers through its sales personnel and customer service representatives. The company was formerly known as Photronic Labs, Inc. and changed its name to Photronics, Inc. in 1990. Photronics, Inc. was incorporated in 1969 and is based in Brookfield, Connecticut."
PFE,Drug Manufacturers - General,Healthcare,"Pfizer, Inc.",United States,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products in the United States, Europe, and internationally. The company offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic, migraine, and women's health under the Eliquis, Nurtec ODT/Vydura, Zavzpret, and the Premarin family brands; infectious diseases with unmet medical needs under the Prevnar family, Abrysvo, Nimenrix, FSME/IMMUN-TicoVac, and Trumenba brands; and COVID-19 prevention and treatment, and potential future mRNA and antiviral products under the Comirnaty and Paxlovid brands. It also provides medicines and vaccines in various therapeutic areas, such as biosimilars for chronic immune and inflammatory diseases under the Xeljanz, Enbrel, Inflectra, Litfulo, Velsipity, and Cibinqo brands; amyloidosis, hemophilia, endocrine diseases, and sickle cell disease under the Vyndaqel family, Oxbryta, BeneFIX, Somavert, Ngenla, and Genotropin brands; sterile injectable and anti-infective medicines under the Sulperazon, Medrol, Zavicefta, Zithromax, and Panzyga brands; and biologics, small molecules, immunotherapies, and biosimilars under the Ibrance, Xtandi, Inlyta, Bosulif, Mektovi, Padcev, Adcetris, Talzenna, Tukysa, Elrexfio, Tivdak, Lorbrena, and Braftovi brands. In addition, the company involved in the contract manufacturing business. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, individual provider offices, retail pharmacies, and integrated delivery systems. The company has collaboration agreements with Bristol-Myers Squibb Company; Astellas Pharma US, Inc.; Merck KGaA; and BioNTech SE, as well as has strategic clinical collaboration with Acepodia Inc. for the development of antibody-cell conjugation-based cell therapies in autoimmune diseases. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York."
DOCN,Software - Infrastructure,Technology,"DigitalOcean Holdings, Inc.",United States,"DigitalOcean Holdings, Inc., through its subsidiaries, operates a cloud computing platform in North America, Europe, Asia, and internationally. The company's platform provides on-demand infrastructure and platform tools for developers, start-ups, and small and growing digital businesses. It also offers infrastructure-as-a-service (IaaS) solutions comprising compute and storage services, as well as networking projects, including Cloud Firewalls software, Managed Load Balancers software, and Virtual Private Cloud (VPC). The company also provides platform-as-a-service (PaaS) solutions, such as managed databases; managed Kubernetes and container registry; application platform to build, deploy, and scale applications; Functions, a serverless compute solution; and Uptime for real-time uptime and latency alerts, as well as software-as-a-service (SaaS), including managed hosting and DigitalOcean Marketplace, a platform where developers can find pre-configured applications and solutions. In addition, it offers artificial intelligence (AI)/machine learning (ML) applications comprising GPU virtual machines for scaling AI applications; Notebooks, a simple cloud workspace that runs on GPUs that provides a managed interactive development environment for exploring data, and training and building machine learning models; and Deployments for deploying their machine learning model as an API endpoint. The company's customers include software engineers, researchers, data scientists, system administrators, students, and hobbyists. Its customers use its platform in various industry verticals and for a range of use cases, such as web and mobile applications, website hosting, e-commerce, media and gaming, personal web projects, managed services, and AI/ML applications. DigitalOcean Holdings, Inc. was incorporated in 2012 and is headquartered in New York, New York."
VRTS,Asset Management,Financial Services,"Virtus Investment Partners, Inc",United States,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1995 and is based in Hartford, Connecticut."
F,Auto Manufacturers,Consumer Cyclical,Ford Motor Company,United States,"Ford Motor Company develops, delivers, and services a range of Ford trucks, commercial cars and vans, sport utility vehicles, and Lincoln luxury vehicles worldwide. It operates through Ford Blue, Ford Model e, and Ford Pro; Ford Next; and Ford Credit segments. The company sells Ford and Lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. It also engages in vehicle-related financing and leasing activities to and through automotive dealers. In addition, the company provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. Further, it offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. The company was incorporated in 1903 and is based in Dearborn, Michigan."
ADP,Software - Application,Technology,"Automatic Data Processing, Inc.",United States,"Automatic Data Processing, Inc. engages in the provision of cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment's offerings include RUN Powered by ADP, a software platform for small business payroll, HR management, and tax compliance administration; ADP Workforce Now, a HCM solution used across mid-sized and large businesses to manage employees; and ADP Vantage HCM, a solution for HR management, benefits administration, payroll services, time and attendance management, and talent management. The PEO Services segment provides HR and employment administration outsourcing solutions under ADP TotalSource name to businesses through a co-employment model. The segment also provides employee benefits, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey."
AME,Specialty Industrial Machinery,Industrials,"AMETEK, Inc.",United States,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices in the North America, Europe, Asia, and South America, and internationally. The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets; power quality monitoring and c devices, uninterruptible power supplies, programmable power and electromagnetic compatibility test equipment, and sensors for gas turbines and dashboard instruments; heavy trucks, instrumentation, and controls for the food and beverage industries; and aircraft and engine sensors, power supplies, embedded computing, monitoring, fuel and fluid measurement, and data acquisition systems for aerospace and defense industry. Its EMG segment offers engineered medical components and devices, automation solutions, thermal management systems, specialty metals, and electrical interconnects; single-use and consumable surgical instruments, implantable components, and drug delivery systems; engineered electrical connectors and electronics packaging to protect sensitive devices and mission-critical electronics; precision motion control products for data storage, medical devices, business equipment, and automation; high-purity powdered metals, strips and foils, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for thermal management, military and commercial aircraft, and military ground vehicles; motors for commercial appliances, food and beverage machines, hydraulic pumps, and industrial blowers; and operates a network of aviation maintenance, repair, and overhaul facilities. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania."
AMAT,Semiconductor Equipment & Materials,Technology,"Applied Materials, Inc.",United States,"Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company was incorporated in 1967 and is headquartered in Santa Clara, California."
HNI,Business Equipment & Supplies,Industrials,HNI Corporation,United States,"HNI Corporation, together with its subsidiaries, engages in the manufacture, sale, and marketing of workplace furnishings and residential building products primarily in the United States and Canada. The company operates through two segments, Workplace Furnishings and Residential Building Products. The Workplace Furnishings segment offers a range of commercial and home office furniture, including panel-based and freestanding furniture systems, seating, storage, benching, tables, architectural products, and ancillary and hospitality products, as well as social collaborative items under the HON, Allsteel, Beyond, Gunlocke, HBF, HBF Textiles, HNI India, Kimball, National, Etc., Interwoven, David Edward, Kimball Hospitality, and D'style brands. This segment sells its products through independent office products dealers, wholesalers, office product distributors, e-commerce focused resellers, and wholesalers, as well as directly to end-user customers and governments. The Residential Building Products segment provides various gas, wood, electric, and pellet-fueled prefabricated fireplaces; and inserts, hearth stoves, facings, outdoor fire pits and fire tables, and accessories. This segment sells its products primarily for home use under the Heatilator, Heat & Glo, Majestic, Monessen, Quadra-Fire, Harman, Vermont Castings, PelPro, Stellar, SimpliFire, The Outdoor GreatRoom Company, and Forge & Flame brand names through independent dealers and distributors, and corporation-owned distribution and retail outlets. The company was incorporated in 1944 and is headquartered in Muscatine, Iowa."
VRTX,Biotechnology,Healthcare,Vertex Pharmaceuticals Incorpor,United States,"Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis (CF). It markets TRIKAFTA/KAFTRIO for people with CF with at least one F508del mutation for 2 years of age or older; SYMDEKO/SYMKEVI for people with CF for 6 years of age or older;  ORKAMBI for CF patients 1 year or older; and KALYDECO for the treatment of patients with 1 year or older who have CF with ivacaftor. The company's pipeline includes VX-522, a CFTR mRNA therapeutic designed to treat the underlying cause of CF, which is in Phase 1 clinical trial; VX-548, a non-opioid medicine for the treatment of acute and neuropathic pain which is in Phase 3 clinical trial; Exa-cel, for the treatment of sickle cell disease and transfusion-dependent beta thalassemia which is in Phase 2/3 clinical trial. In addition, it provides inaxaplin for the treatment of APOL1-mediated focal segmental glomerulosclerosis and co-morbidities, such as hypertension which is in single Phase 2/3; VX- 880 and VX-264, treatment for Type 1 Diabetes which is in Phase 1/2 clinical trial;  VX-970, which is in Phase 2 clinical trial for the treatment of cancer; and VX-803 and VX-984 for treatment of cancer in Phase 1 clinical trial. Further, it sells the products to specialty pharmacy and specialty distributors in the United States, as well as retail pharmacies, hospitals, and clinics. Additionally, the company has collaborations with CRISPR Therapeutics AG.; Moderna, Inc.; Entrada Therapeutics, Inc.; Arbor Biotechnologies, Inc.; Mammoth Biosciences, Inc.; and Verve Therapeutics., as well as collaborations with Tevard Biosciences to develop novel tRNA-based therapies for duchenne muscular dystrophy. Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts."
LEN,Residential Construction,Consumer Cyclical,Lennar Corporation,United States,"Lennar Corporation, together with its subsidiaries, operates as a homebuilder primarily under the Lennar brand in the United States. It operates through Homebuilding East, Homebuilding Central, Homebuilding Texas, Homebuilding West, Financial Services, Multifamily, and Lennar Other segments. The company's homebuilding operations include the construction and sale of single-family attached and detached homes, as well as the purchase, development, and sale of residential land; and development, construction, and management of multifamily rental properties. It also offers residential mortgage financing, title, insurance, and closing services for home buyers and others, as well as originates and sells securitization commercial mortgage loans. In addition, the company is involved in the fund investment activity. It primarily serves first-time, move-up, active adult, and luxury homebuyers. Lennar Corporation was founded in 1954 and is based in Miami, Florida."
ENR,Electrical Equipment & Parts,Industrials,"Energizer Holdings, Inc.",United States,"Energizer Holdings, Inc., together with its subsidiaries, manufactures, markets, and distributes household batteries, specialty batteries, and lighting products worldwide. It offers lithium, alkaline, carbon zinc, nickel metal hydride, zinc air, and silver oxide batteries under the Energizer, Eveready, and Rayovac brands; primary, rechargeable, specialty, and hearing aid batteries; and handheld, headlights, lanterns, and area lights, as well as flashlights under the Hard Case, Dolphin, and WeatherReady brands. The company licenses the Energizer, Rayovac, and Eveready brands to companies developing consumer solutions in solar, automotive batteries, portable power for critical devices, generators, power tools, household light bulbs, and other lighting products. In addition, it designs and markets automotive fragrance and appearance products, including protectants, wipes, tire and wheel care products, glass cleaners, leather care products, air fresheners, and washes to clean, shine, refresh, and protect interior and exterior automobile surfaces under the brand names of Armor All, Nu Finish, Refresh Your Car!, LEXOL, Eagle One, California Scents, Driven, Bahama & Co, Carnu, Grand Prix, Kit, and Tempo; STP branded fuel and oil additives, functional fluids, and other performance chemical products; and do-it-yourself automotive air conditioning recharge products under the A/C PRO brand name, as well as other refrigerant and recharge kits, sealants, and accessories. The company sells its products through direct sales force, distributors, and wholesalers; and various retail and business-to-business channels, including mass merchandisers, club, electronics, food, home improvement, dollar store, auto, drug, hardware, e-commerce, convenience, sporting goods, hobby/craft, office, industrial, medical, and catalog. Energizer Holdings, Inc. was incorporated in 2015 and is headquartered in Saint Louis, Missouri."
UTL,Utilities - Diversified,Utilities,UNITIL Corporation,United States,"Unitil Corporation, a public utility holding company, engages in the distribution of electricity and natural gas. It operates through two segments, Utility Electric Operations, Utility Gas Operations. The company distributes electricity in the southeastern seacoast and state capital regions of New Hampshire, and the greater Fitchburg area of north central Massachusetts; and distributes natural gas in southeastern New Hampshire and portions of southern and central Maine, including the city of Portland and the Lewiston-Auburn area, as well as electricity and natural gas in the greater Fitchburg area of north central Massachusetts. It also operates 86 miles of interstate underground natural gas transmission pipeline that provides interstate natural gas pipeline access and transportation services primarily in Maine and New Hampshire. In addition, the company provides real estate management services. It serves approximately 108,100 electric customers and 87,500 natural gas customers. Unitil Corporation was incorporated in 1984 and is headquartered in Hampton, New Hampshire."
COST,Discount Stores,Consumer Defensive,Costco Wholesale Corporation,United States,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, Mexico, Japan, the United Kingdom, Korea, Australia, Taiwan, China, Spain, France, Iceland, New Zealand, and Sweden. The company offers branded and private-label products in a range of merchandise categories. It offers merchandise, such as sundries, dry groceries, candies, coolers, freezers, deli, liquor, and tobacco; appliances, electronics, health and beauty aids, hardware, lawn and garden, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. The company also operates gasoline, pharmacies, optical, food courts, hearing-aid centers, and tire installation centers; and offers business delivery, travel, grocery, and various other services online. It also operates e-commerce websites. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington."
ANIP,Drug Manufacturers - Specialty & Generic,Healthcare,"ANI Pharmaceuticals, Inc.",United States,"ANI Pharmaceuticals, Inc., a biopharmaceutical company, develops, manufactures, and markets branded and generic prescription pharmaceuticals in the United States and Canada. The company manufactures oral solid dose products; semi-solids, liquids, and topicals; controlled substances; and potent products, as well as performs contract development and manufacturing of pharmaceutical products. It markets its products through retail pharmacy chains, wholesalers, distributors and mail order pharmacies, group purchasing organizations, specialty pharmacies, and hospitals. ANI Pharmaceuticals, Inc. was incorporated in 2001 and is headquartered in Baudette, Minnesota."
TCBI,Banks - Regional,Financial Services,"Texas Capital Bancshares, Inc.",United States,"Texas Capital Bancshares, Inc. operates as the bank holding company for Texas Capital Bank, is a full-service financial services firm that delivers customized solutions to businesses, entrepreneurs, and individual customers. The company offers commercial banking; consumer banking; investment banking solutions, including capital markets, mergers and acquisitions, and syndicated finance, as well as financial sponsor coverage, capital solutions, and institutional services; and wealth management services, such as investment management, financial planning, lockbox and insurance, securities-based lending, estate planning, and business succession, as well as philanthropic, trustee and executor, custom credit, and depository services. It also provides deposit accounts, analyzed accounts, commercial card, SBA and business loans, packaged solutions, and merchant services; liquidity and investments, working capital, international trade and payment, and treasury and credit products; and commercial real estate, homebuilder and community, and mortgage finance. In addition, the company offers payables and receivables management; online and mobile banking; term loans and lines of credit, equipment finance and lease, acquisition finance, and asset-based lending; private wealth advisory solutions; and checking and savings accounts, debit and credit cards, and certificates of deposit, as well as ETF and funds management services. Further, it provides financial institution money market accounts and loan syndication products; commercial loans for financing for working capital, organic growth, and acquisitions; real estate term and construction loans; mortgage warehouse lending services; treasury management, trust, and advisory and escrow services; and letters of credit. The company operates in Austin, Dallas, Fort Worth, Houston, and San Antonio metropolitan areas of Texas. Texas Capital Bancshares, Inc. was incorporated in 1996 and is headquartered in Dallas, Texas."
